Name,Ostan,Shahrestan,Shahr,Roosta,Address,Phone Code,Reg Number,National Code
ولی عصر(عج),مازندران,بابل,NULL,امین آبادو کروکلا,10 کیلومتری بابل،جاده جدید امل، روستای امین اباد و کرو کلا,01132114542,28,10760007282
ولی عصر(عج),مازندران,بابل,NULL,سیاهکلامحله شرقی,بابل،جاده گنج افروز روستای سیاهکلا محله,01132230088-01132234003,16,10862138889
ثامن الائمه(ع),مازندران,بابل,NULL,علی آباد,جاده آمل به بابل-16 کیلومتری آمل,01132642023,25,10760006623
حضرت ابوالفضل(ع),مازندران,بابل,NULL,شوبکلا,جاده قدیم آمل-روستای شوبکلا,01132422227,14,10861224896
امام رضا(ع),مازندران,بابل,NULL,درزیکلا نصیرائی,جاده شهید صالحی پلاک 394,01132143106,30,10760007890
ولی عصر(عج),مازندران,بابل,NULL,گتاب_روستاي درزيكلا آخوندي,کیلومتر 3 جاده شهید صالحی، روستای درزیکلا آخوندی,01132142466,27,10760007132
ولی عصر(عج),مازندران,بابل,NULL,موزیرج,خیابان ایت اله خامنه ای -بعد از پل-روبروی بانک ملی,01132272649/01132275649,38,10760010052
ثامن الائمه(ع),مازندران,بابل,مرزیکلا,درازکلا,بابل-کنار روستای درازکلا,011-326322233-32633742,15,10760003806
ولی عصر(عج),مازندران,بابل,NULL,دهک,جاده جدید امل روستای دهک,01132271212,62,10760015990
ولی عصر(عج),مازندران,بابل,NULL,بخش مرکزی روستای درویش خیل مرزون آباد,روستای درویش خیل مرزون اباد  پلاک 29,011-32053210,87,10760022521
امام رضا(ع),مازندران,بابل,زرگرشهر,سپاه دانش,جاده جدید امل کیلومتر 7 پست امین اباد روستای سپاه دانش,01132563468,89,10760022901
ولی عصر(عج),مازندران,بابل,NULL,هلال کلا,جاده جدید امل،روستای هلال کلا، 12کیلومتری بابل,01132114534,66,10760017044
ولی عصر(عج),مازندران,بابل,NULL,برسمنان,بابل روستای برسمنان,01132112295,57,10760014795
موسی بن جعفر(ع),مازندران,بابل,NULL,درزیکلا آقاشفیعی,جاده قدیم آمل-پل انصاری-روستای درزیکلا آقا شفیعی,011-32665068,76,10760019732
ولی عصر(عج),مازندران,بابل,امیرکلا,NULL,فلکه مرکزی-خیابان امام خمینی-میدان انقلاب,01132343412,43,10760011360
امام هادی(ع),مازندران,بابل,NULL,پایین کشتلی,جاده شهید صالحی روستای پایین محله کشتلی,01132558599,60,10760015627
غدیر,مازندران,بابل,NULL,آهنگر کلا بزرگ,جاده شهید صالحی-روستای آهنگر کلا بزرگ,011-32623080,92,10760023615
امام علی(ع),مازندران,بابل,NULL,کفشگرکلا,بابل،جاده شهید صالحی،روستای کفشگر کلا,01132453155/01132454999,138,10760033278
ولی عصر(عج),مازندران,بابل,NULL,میدانسرکشتلی,بابل،جاده شهید صالحی،روستای میدانسرکشتلی,011-32556009,42,10760010981
امام حسین(ع),مازندران,بابل,امیرکلا,NULL,خیابان امام،جنب بانک ملی شعبه مرکزی امیر کلا,01132347814-01132347815,154,10760036460
محمد رسول اله(ص),مازندران,امل,آمل,درزی کلا,امل، جاده واسکس، روستای درزیکلا,01143182030,32,10760008319
امام حسن عسگری(ع),مازندران,بابل,بابل بالا گنج افروز,NULL,جاده گنج افروز روستای بالا گنج افروزا,01132532480,153,10760036232
امیرالمومنین(ع),مازندران,بابل,NULL,درونکلا شرقی,جاده گنج افروز روستای درونکلا شرقی,01132534740,19,10760004942
امام حسن مجتبی(ع),مازندران,بابل,NULL,آغوزبن,بابل،آغوزبن,01132373244,73,10760018940
شهدای قرآن,مازندران,بابل,NULL,بابلکنار,استان مازندران شهرستان بابل بخش بابلکنار روستای قرآن تالار تالار 7,01132432944,113,10760028092
شهدای درزیکلا شیخ,مازندران,بابل,بابل .امیرکلا .درزیکلاشیخ,امیرکلا,امیرکلا رحیم زاده، درزیکلا شیخ،نرسیده به گلزار شهدای درزیکلا,01132345883,104,10760026242
ولی عصر(عج),مازندران,بابلسر,بهنمیر,NULL,بهنمیر-خیابان امام -جنب بانك ملت,01135752212,3,10760000759
ولی عصر(عج),مازندران,بابلسر,NULL,باقر تنگه,خیابان شهید بهشتی،بلوار شهید ذوالفقاری،خیابان نیروی هوایی ،روبروی مسجد جامع،پلاک 119,01135342111,9,10760002292
ولی عصر(عج),مازندران,بابلسر,NULL,عرب خیل,جاده بهنمیر روستای عرب خلیل,01135722212,11,10760002784
ولی عصر(عج),مازندران,فریدونکنار,قریدونکنار,مهلبان,فریدونکنار روستای مهلبان,01135649242,10,10760002522
